"","Quarter","Campus","Item","Course.ID","Title","CREDIT","TYPE.days","Time","Room","Instructor","Enrolled","divider","classCap","Wait.List","FTES.TOTAL","FTES.STATE","Clustered","Type"
"43","Fall 2010","North","1110","CMST&101  01","INTRODUCTION TO COMM",5,"MWF","11:00:00 AM","ED 0840C","Rschuess",33,"/",35,0,11,8.3,"1110B012","Typical"
"44","Fall 2010","North","1112","CMST 185  01","ORGANIZATIONAL COMM",5,"MWF","11:00:00 AM","ED 0840C","Rschuess",3,"/",0,0,1,1,"1110B012","Typical"
"45","Fall 2010","North","1116","CMST 115  01","OVERCOMING COMM ANXIETY",5,"TTh","05:30:00 PM","ED 0840C","Rdeheck",20,"/",25,0,6.7,5.7,".","Typical"
"46","Fall 2010","North","1124","CMST&220  01","PUBLIC SPEAKING",5,"MWF","02:00:00 PM","ED 0840C","Rschuess",23,"/",25,0,7.7,4,".","Typical"
"47","Fall 2010","North","1125","CMST&220  02","PUBLIC SPEAKING",5,"MWF","12:30:00 PM","ED 0840C","Rschuess",27,"/",25,2,9,5.7,".","Typical"
"48","Fall 2010","North","1126","CMST 245  01","MEDIA COMM AND CRITICISM",5,"MW","05:30:00 PM","ED 0840C","Rdeheck",7,"/",35,0,2.3,1.7,"1126B012","Typical"
"49","Fall 2010","North","1128","CMST 265  01","MEDIA RELATIONS/ETHICS",5,"MW","05:30:00 PM","ED 0840C","Rdeheck",2,"/",0,0,0.7,0.7,"1126B012","Typical"
"50","Fall 2010","North","1132","CMST 290  01","MEDIA PROJECT PRACTICUM",5,"MW","05:30:00 PM","ED 0840C","Cancelled",0,"/",20,0,0,0,".","Typical"
"51","Fall 2010","North","1133","CMST 291  01","INTERNET/PRINT PRACTICUM",5,"Arr","AR:R M","ARR","Rschuess",0,"/",10,0,0,0,".","Odd"
"52","Fall 2010","North","1134","CMST 292  01","RADIO & AUDIO PRACTICUM",5,"Arr","AR:R M","ARR","Rschuess",0,"/",10,0,0,0,".","Odd"
"53","Fall 2010","North","1135","CMST 293  01","TELEVISION/VIDEO PRACTIC",5,"Arr","AR:R M","ARR","Rschuess",1,"/",10,0,0.3,0.3,".","Odd"
"54","Fall 2010","North","1136","CMST 294  01","NEWS/PUBLIC INFO PRACTIC",5,"Arr","AR:R M","ARR","Rschuess",0,"/",10,0,0,0,".","Odd"
"55","Fall 2010","North","1137","CMST 295  01","STUDIES AND WORKS IN COM",5,"Arr","AR:R M","ARR","Rschuess",2,"/",10,0,0.7,0.7,".","Odd"
"56","Fall 2010","North","1160","DRMA 108  01","REHEARSAL & PERFORMANCE",5,"Arr","AR:R M","LB 1132","Gnichols",11,"/",20,0,2.2,1.8,"1160B012","Odd"
"57","Fall 2010","North","1161","DRMA 109  01","REHEARSAL & PERFORMANCE",5,"Arr","AR:R M","LB 1132","Gnichols",2,"/",0,0,0.5,0.5,"1160B012","Odd"
"58","Fall 2010","North","1162","DRMA 110  01","REHEARSAL & PERFORMANCE",5,"Arr","AR:R M","LB 1132","Gnichols",3,"/",0,0,0.7,0.5,"1160B012","Odd"
"59","Fall 2010","North","1165","DRMA 121  01","ACTING",5,"MWF","11:00:00 AM","LB 1132","Gnichols",14,"/",20,0,4.7,3.3,".","Typical"
"60","Fall 2010","North","1174","DRMA 200  01","SPECIAL PROJECTS:DRAMA",5,"Arr","AR:R M","LB 1132","Gnichols",0,"/",0,0,0,0,"1160B012","Odd"
"61","Fall 2010","North","1175","DRMA 201  01","SPECIAL STUDIES: DRAMA",5,"Arr","AR:R M","LB 1132","Gnichols",1,"/",0,0,0.3,0.3,"1160B012","Odd"
"62","Fall 2010","North","1176","DRMA 211  01","THEATER MANAGEMENT",5,"Arr","AR:R M","LB 1132","Gnichols",0,"/",0,0,0,0,"1160B012","Odd"
"63","Fall 2010","North","1177","DRMA 224  01","PRODUCTION & STAGE MGMT",5,"Arr","AR:R M","LB 1132","Gnichols",0,"/",0,0,0,0,"1160B012","Odd"
"64","Fall 2010","North","1178","DRMA 231  01","PROPS & SOUND",5,"Arr","AR:R M","LB 1132","Gnichols",0,"/",0,0,0,0,"1160B012","Odd"
"65","Fall 2010","North","1179","DRMA 241  01","COSTUMING",5,"Arr","AR:R M","LB 1132","Gnichols",2,"/",0,0,0.7,0.3,"1160B012","Odd"
"66","Fall 2010","North","1180","DRMA 251  01","STAGE SCENERY",5,"Arr","AR:R M","LB 1132","Gnichols",2,"/",0,0,0.7,0.7,"1160B012","Odd"
"67","Fall 2010","North","1181","DRMA 261  01","STAGE LIGHTING",5,"Arr","AR:R M","LB 1132","Gnichols",0,"/",0,0,0,0,"1160B012","Odd"
"68","Fall 2010","North","1182","DRMA 271  01","ACTING",5,"Arr","AR:R M","LB 1132","Gnichols",0,"/",0,0,0,0,"1160B012","Odd"
"69","Fall 2010","North","1183","DRMA 281  01","DIRECTING",5,"Arr","AR:R M","LB 1132","Gnichols",0,"/",0,0,0,0,"1160B012","Odd"
"70","Fall 2010","North","1184","DRMA 291  01","THEATRICAL INTERNSHIP",5,"Arr","AR:R M","LB 1132","Gnichols",0,"/",0,0,0,0,"1160B012","Odd"
"71","Fall 2010","North","1185","DRMA 298  01","IND. PROJECTS IN THEATER",5,"Arr","AR:R M","LB 1132","Gnichols",0,"/",0,0,0,0,"1160B012","Odd"
"72","Fall 2010","North","1194","DRMA 284  01","PLAYWRITING",5,"Arr","AR:R M","LB 1132","Gnichols",6,"/",10,0,2,1.7,".","Odd"
"73","Fall 2010","North","1200","ENGL&230  01","TECHNICAL WRITING",3,"Other","11:00:00 AM","IB 3409","Kteal",22,"/",25,0,4.4,4.2,".","Odd"
"74","Fall 2010","North","1202","ENGL&230  02","TECHNICAL WRITING",3,"M","06:30:00 PM","IB 1307","Drigby",22,"/",25,0,4.4,4.2,".","Typical"
"75","Fall 2010","North","1208","ENGL 097  C1","COLLEGE PREP READING IV",5,"Other","10:00:00 AM","CC 3343","Tchung",18,"/",30,0,6,3,"1208B012","Odd"
"76","Fall 2010","North","1210","ENGL 098  C1","COLLEGE PREP WRITING IV",5,"MTWTh","10:00:00 AM","CC 3343","Tchung",18,"/",30,0,6,3,"1208B012","Typical"
"77","Fall 2010","North","1212","ENGL&101  C2","ENGLISH COMPOSITION I",5,"MWF","10:30:00 AM","CC 2153","Mboyer",20,"/",0,0,6.7,5.3,"1212B012","Typical"
"78","Fall 2010","North","1214","ENGL&101  C4","ENGLISH COMPOSITION I",5,"MW","05:30:00 PM","CC 2153","Chamilton",5,"/",0,0,1.7,1.3,"1102B012","Typical"
"79","Fall 2010","North","1216","ENGL&102  C3","COMPOSITION II",5,"Other","10:00:00 AM","CC 2153","Jclapp",21,"/",0,0,7,7,"1216B012","Odd"
"80","Fall 2010","North","1217","ENGL&102  C4","COMPOSITION II",5,"MW","05:30:00 PM","CC 2153","Chamilton",16,"/",0,0,5.3,4.7,"1102B012","Typical"
"81","Fall 2010","North","1218","ENGL 231  C3","CHILDREN'S LITERATURE",5,"Other","10:00:00 AM","CC 2153","Jclapp",20,"/",0,0,6.7,6,"1216B012","Odd"
"82","Fall 2010","North","1220","ENGL 265  C4","LITERATURE & SOCIETY",5,"MW","05:30:00 PM","CC 2153","Chamilton",23,"/",0,0,7.7,7,"1102B012","Typical"
"83","Fall 2010","North","1222","ENGL 258  C2","LIT OF AMERICAN CULTURE",5,"MWF","10:30:00 AM","CC 2153","Mboyer",12,"/",0,0,4,3,"1212B012","Typical"
"84","Fall 2010","North","1228","ENGL 299  C3","INDEPENDENT STUDY",2,"TTh","10:00:00 AM","CC 2153","Jclapp",1,"/",0,0,0.1,0.1,"1216B012","Typical"
"85","Fall 2010","North","1229","ENGL 299  C4","INDEPENDENT STUDY",2,"MW","05:30:00 PM","CC 2153","Chamilton",0,"/",0,0,0,0,"1102B012","Typical"
"86","Fall 2010","North","1230","ENGL 080  01","ENGLISH SKILLS SHOP",2,"Arr","AR:R M","LB 3234","Dtarker",77,"/",150,0,10.3,8,".","Odd"
"87","Fall 2010","North","1244","ENGL 095  01","COLL PREP READ STUDY III",5,"DAILY","10:00:00 AM","CC 3360","Lmccracken",27,"/",28,0,9,6.3,".","Typical"
"88","Fall 2010","North","1245","ENGL 096  01","COLLEGE PREP WRITING III",5,"DAILY","11:00:00 AM","CC 3360","Lmccracken",27,"/",28,0,9,6.3,".","Typical"
"89","Fall 2010","North","1246","ENGL 095  02","COLL PREP READ STUDY III",5,"DAILY","10:00:00 AM","CC 3350","Hxie",17,"/",28,0,5.7,3.3,".","Typical"
"90","Fall 2010","North","1247","ENGL 096  02","COLL PREP READ STUDY III",5,"DAILY","11:00:00 AM","CC 3350","Hxie",17,"/",28,0,5.7,3.3,".","Typical"
"91","Fall 2010","North","1252","ENGL 095  03","COLL PREP READ STUDY III",5,"MTTh","06:00:00 PM","CC 3349","Mstorms",10,"/",28,0,3.3,3.3,"1252B012","Typical"
"92","Fall 2010","North","1253","ENGL 096  03","COLLEGE PREP WRITING III",5,"MTTh","07:40:00 PM","CC 3349","Mstorms",10,"/",28,0,3.3,3.3,"1253B012","Typical"
"93","Fall 2010","North","1254","ENGL 097  02","COLLEGE PREP READING IV",5,"DAILY","09:00:00 AM","CC 3446","Dma",29,"/",28,1,9.7,8.3,".","Typical"
"94","Fall 2010","North","1255","ENGL 098  02","COLLEGE PREP WRITING IV",5,"DAILY","10:00:00 AM","CC 3446","Dma",29,"/",28,2,9.7,8.3,".","Typical"
"95","Fall 2010","North","1256","ENGL 097  01","COLLEGE PREP READING IV",5,"DAILY","10:00:00 AM","CC 3360","Cancelled",0,"/",28,0,0,0,".","Typical"
"96","Fall 2010","North","1257","ENGL 098  01","COLLEGE PREP WRITING IV",5,"DAILY","11:00:00 AM","CC 3360","Cancelled",0,"/",28,0,0,0,".","Typical"
"97","Fall 2010","North","1260","ENGL 097  04","COLLEGE PREP READING IV",5,"DAILY","11:00:00 AM","CC 3449","Mleek",28,"/",28,1,9.3,6,".","Typical"
"98","Fall 2010","North","1261","ENGL 098  04","COLLEGE PREP WRITING IV",5,"DAILY","12:00:00 PM","CC 3449","Mleek",28,"/",28,1,9.3,6,".","Typical"
"99","Fall 2010","North","1268","ENGL 097  03","COLLEGE PREP READING IV",5,"MTTh","06:00:00 PM","CC 3349","Mstorms",15,"/",0,1,5,4.3,"1252B012","Typical"
"100","Fall 2010","North","1269","ENGL 098  03","COLLEGE PREP WRITING IV",5,"MTTh","07:40:00 PM","CC 3349","Mstorms",15,"/",0,0,5,4.3,"1253B012","Typical"
"101","Fall 2010","North","1271","ENGL 099  01","COLLEGE PREP WRITING V",5,"DAILY","12:00:00 PM","CC 3360","Lmccracken",26,"/",28,0,8.7,6,".","Typical"
"102","Fall 2010","North","1272","ENGL 099  02","COLLEGE PREP WRITING V",5,"DAILY","12:00:00 PM","ED 0843A","Nmaestas",8,"/",28,0,2.7,1,".","Typical"
"103","Fall 2010","North","1273","ENGL&101  01","ENGLISH COMPOSITION I",5,"DAILY","08:00:00 AM","CC 3446","Gnovember",27,"/",28,0,9,3.3,".","Typical"
"104","Fall 2010","North","1274","ENGL&101  02","ENGLISH COMPOSITION I",5,"DAILY","08:00:00 AM","CC 3350","Jbopp",25,"/",28,0,8.3,3,".","Typical"
"105","Fall 2010","North","1276","ENGL&101  03","ENGLISH COMPOSITION I",5,"DAILY","08:00:00 AM","CC 3360","Ccarbone",25,"/",28,0,8.3,3,".","Typical"
"106","Fall 2010","North","1278","ENGL&101  04","ENGLISH COMPOSITION I",5,"DAILY","09:00:00 AM","CC 3360","Gnovember",27,"/",28,0,9,5.3,".","Typical"
"107","Fall 2010","North","1279","ENGL&101  05","ENGLISH COMPOSITION I",5,"DAILY","09:00:00 AM","CC 3449","Cscheuer",28,"/",28,0,9.3,7.3,".","Typical"
"108","Fall 2010","North","1280","ENGL&101  06","ENGLISH COMPOSITION I",5,"DAILY","09:00:00 AM","CC 3350","Jbopp",27,"/",28,0,9,4.3,".","Typical"
"109","Fall 2010","North","1282","ENGL&101  07","ENGLISH COMPOSITION I",5,"DAILY","10:00:00 AM","CC 3449","Kknudson",26,"/",28,4,8.7,3.7,".","Typical"
"110","Fall 2010","North","1284","ENGL&101  08","ENGLISH COMPOSITION I",5,"DAILY","10:00:00 AM","IB 3408","Ccarbone",28,"/",28,1,9.3,8,".","Typical"
"111","Fall 2010","North","1286","ENGL&101  09","ENGLISH COMPOSITION I",5,"DAILY","10:00:00 AM","CC 3460","Dblackman",29,"/",28,5,9.7,3.7,".","Typical"
"112","Fall 2010","North","1287","ENGL&101  10","ENGLISH COMPOSITION I",5,"DAILY","10:00:00 AM","CC 3445","Cscheuer",28,"/",28,2,9.3,7,".","Typical"
"113","Fall 2010","North","1290","ENGL&101  11","ENGLISH COMPOSITION I",5,"DAILY","11:00:00 AM","IB 3416","Cdavis",29,"/",28,0,9.7,7,".","Typical"
"114","Fall 2010","North","1292","ENGL&101  WDC","ENGLISH COMPOSITION I",5,"DAILY","11:00:00 AM","IB 3417","Mtenenba",27,"/",28,0,9,5,".","Typical"
"115","Fall 2010","North","1294","ENGL&101  12","ENGLISH COMPOSITION I",5,"DAILY","11:00:00 AM","IB 3408","Cancelled",0,"/",28,0,0,0,".","Typical"
"116","Fall 2010","North","1296","ENGL&101  13","ENGLISH COMPOSITION I",5,"DAILY","12:00:00 PM","IB 3416","Cdavis",28,"/",28,1,9.3,8,".","Typical"
"117","Fall 2010","North","1297","ENGL&101  14","ENGLISH COMPOSITION I",5,"MWF","12:00:00 PM","IB 3408","Emaziarz",27,"/",28,1,9,4,".","Typical"
"118","Fall 2010","North","1298","ENGL&101  15","ENGLISH COMPOSITION I",5,"DAILY","01:00:00 PM","CC 3360","Theinlein",28,"/",28,0,9.3,5,".","Typical"
"119","Fall 2010","North","1299","ENGL&101  19","ENGLISH COMPOSITION I",5,"DAILY","01:00:00 PM","ED 0843A","Nmaestas",23,"/",28,0,7.7,2.7,".","Typical"
"120","Fall 2010","North","1300","ENGL&101  16","ENGLISH COMPOSITION I",5,"DAILY","03:00:00 PM","CC 3360","Bgutierrez",25,"/",28,0,8.3,4.3,".","Typical"
"121","Fall 2010","North","1302","ENGL&101  17","ENGLISH COMPOSITION I",5,"MW","06:00:00 PM","CC 3360","Ejpeterson",28,"/",28,0,9.3,9,".","Typical"
"122","Fall 2010","North","1303","ENGL&101  18","ENGLISH COMPOSITION I",5,"TTh","06:00:00 PM","CC 3459","Bgutierrez",25,"/",28,1,8.3,6.3,".","Typical"
"123","Fall 2010","North","1306","ENGL&102  01","COMPOSITION II",5,"DAILY","08:00:00 AM","CC 3349","Cscheuer",25,"/",28,0,8.3,5.3,".","Typical"
"124","Fall 2010","North","1308","ENGL&102  02","COMPOSITION II",5,"DAILY","09:00:00 AM","CC 3349","Dblackman",27,"/",28,14,9,2.7,".","Typical"
"125","Fall 2010","North","1310","ENGL&102  03","COMPOSITION II",5,"DAILY","10:00:00 AM","IB 3416","Cdavis",27,"/",28,1,9,6.7,".","Typical"
"126","Fall 2010","North","1314","ENGL&102  04","COMPOSITION II",5,"DAILY","11:00:00 AM","CC 3446","Dma",26,"/",28,1,8.7,8,".","Typical"
"127","Fall 2010","North","1316","ENGL&102  05","COMPOSITION II",5,"MWF","12:00:00 PM","CC 3349","Cancelled",0,"/",28,0,0,0,".","Typical"
"128","Fall 2010","North","1320","ENGL&102  06","COMPOSITION II",5,"TTh","06:00:00 PM","CC 3360","Ejpeterson",24,"/",28,0,8,6.3,".","Typical"
"129","Fall 2010","North","1322","ENGL&112  01","INTRO TO FICTION",5,"TTh","06:00:00 PM","CC 3350","Cancelled",0,"/",35,0,0,0,".","Typical"
"130","Fall 2010","North","1326","ENGL 151  01","CREATIVE WRITING",5,"MWF","12:00:00 PM","CC 3350","Mtenenba",26,"/",28,0,8.7,8.3,"1326B012","Typical"
"131","Fall 2010","North","1327","ENGL 152  01","CREATIVE WRITING",5,"MWF","12:00:00 PM","CC 3350","Mtenenba",1,"/",0,0,0.3,0.3,"1326B012","Typical"
"132","Fall 2010","North","1328","ENGL 153  01","CREATIVE WRITING",5,"MWF","12:00:00 PM","CC 3350","Mtenenba",2,"/",0,0,0.7,0.7,"1326B012","Typical"
"133","Fall 2010","North","1330","ENGL 292  H1","LIT BY WOMEN: GLOBAL PER",5,"HYBRID - TTh","12:00:00 PM","CC 3346","Chamilton",12,"/",35,0,4,3,".","Hybrid"
"134","Fall 2010","North","1332","ENGL 296  01","SPECIAL TOPICS/ENGLISH",3,"Arr","AR:R M","IB 2312A","Blane",0,"/",10,0,0,0,".","Odd"
"135","Fall 2010","North","1334","ENGL 299  01","INDEPENDENT STUDY",5,"Arr","AR:R M","IB 2312A","Blane",2,"/",10,0,0.2,0.2,".","Odd"
"136","Fall 2010","North","1350","ESL 011  01","ESL - LEVEL 1A",10,"DAILY","09:00:00 AM","ED 0841A","Shotting",32,"/",32,7,21.1,21.1,".","Typical"
"137","Fall 2010","North","1351","ESL 012  02","ESL - LEVEL 1B",10,"DAILY","12:00:00 PM","CC 3359","Jbauer",26,"/",32,0,17.3,17.3,".","Typical"
"138","Fall 2010","North","1352","ESL 012  03","ESL - LEVEL 1B",10,"DAILY","12:00:00 PM","IB 3417","Pcosko",13,"/",32,0,8.7,8.7,"1352B012","Typical"
"139","Fall 2010","North","1353","ESL 012  04","ESL - LEVEL 1B",5,"MW","06:30:00 PM","IB 3416","Cgerber",9,"/",32,0,3,3,"1353B012","Typical"
"140","Fall 2010","North","1354","ESL 011  05","ESL - LEVEL 1A",5,"MW","06:30:00 PM","CC 3443","Mkill",26,"/",32,4,8.7,8.7,".","Typical"
"141","Fall 2010","North","1355","ESL 013  01","ESL - LEVEL 1C",10,"DAILY","09:00:00 AM","IB 1307","Lsharpe",16,"/",32,0,10.7,10.7,".","Typical"
"142","Fall 2010","North","1356","ESL 013  02","ESL - LEVEL 1C",10,"DAILY","12:00:00 PM","IB 3417","Pcosko",12,"/",0,0,8,8,"1352B012","Typical"
"143","Fall 2010","North","1357","ESL 013  03","ESL - LEVEL 1C",5,"MW","06:30:00 PM","IB 3416","Cgerber",20,"/",0,0,6.5,6.9,"1353B012","Typical"
"144","Fall 2010","North","1358","ESL 015  70","BASIC LITERACY",5,"DAILY","11:00:00 AM","IB 3428","Mbaker",31,"/",32,0,10.3,10.3,".","Typical"
"145","Fall 2010","North","1359","ESL 015  80","BASIC LITERACY",5,"TTh","06:30:00 PM","CC 3359","Cgerber",35,"/",32,0,11.7,11.7,".","Typical"
"146","Fall 2010","North","1360","ESL 016  01","ESL-SPEAKING/LISTENING 1",5,"DAILY","11:00:00 AM","IB 1307","Lsharpe",32,"/",32,1,10.7,10.7,".","Typical"
"147","Fall 2010","North","1364","ESL 021  01","ESL - LEVEL 2A",10,"DAILY","12:00:00 PM","IB 3428","Aalfaiz",29,"/",32,0,19.3,19.3,".","Typical"
"148","Fall 2010","North","1365","ESL 021  02","ESL - LEVEL 2A",5,"MW","06:30:00 PM","ED 0841A","Bfraley",34,"/",32,0,11.1,11.1,".","Typical"
"149","Fall 2010","North","1367","ESL 022  01","ESL - LEVEL 2B",10,"DAILY","12:00:00 PM","ED 0841A","Stuinstr",30,"/",32,0,20,20,".","Typical"
"150","Fall 2010","North","1368","ESL 022  02","ESL - LEVEL 2B",5,"MW","06:30:00 PM","CC 3359","Jkildall",35,"/",32,3,11.4,11.4,".","Typical"
"151","Fall 2010","North","1370","ESL 025  70","FOCUS ON WRITING 2",5,"DAILY","10:00:00 AM","IB 3413","Tbelgace",28,"/",32,1,9.3,9.3,".","Typical"
"152","Fall 2010","North","1371","ESL 025  80","FOCUS ON WRITING 2",5,"TTh","06:30:00 PM","IB 3428","Bfraley",31,"/",32,4,10.1,10.1,".","Typical"
"153","Fall 2010","North","1372","ESL 026  01","ESL-SPEAKING/LISTENING 2",5,"DAILY","11:00:00 AM","IB 3415","Cbonney",34,"/",32,0,11.3,11.3,".","Typical"
"154","Fall 2010","North","1373","ESL 026  02","ESL-SPEAKING/LISTENING 2",5,"TTh","06:30:00 PM","CC 3350","Ksidoine",16,"/",32,0,5.2,5.2,"1373B012","Typical"
"155","Fall 2010","North","1374","ESL 027  01","BASIC KEYBOARDING",3,"MWF","11:00:00 AM","IB 3305","Bmckelve",15,"/",0,2,2.5,2.5,"1386B012","Typical"
